,0,1,2,Mothes,Fathers,Generation,Fitness,Results
0xaefc07,54.88,0.0276,0.39,0.0,0.0,G0,0.014356276333525523,0.7500370613484534
0xedbd54,36.26,0.0615,0.35,0.0,0.0,G0,0.003708993039813203,0.952728519713811
0x4e60d2,27.44,0.0167,0.0,0.0,0.0,G0,0.01318591968459052,0.7723170448368535
0x52ed2,53.9,0.0222,0.2,0.0,0.0,G0,0.02264482330595056,0.5922486727777535
0xbc9a0a,51.94,0.0098,0.4,0.0,0.0,G0,0.012727623642002906,0.7810415889926394
0x26a54d,49.98,0.025,0.4,0.0,0.0,G0,0.01137844899361424,0.8067257160631534
0x60faf4,94.08,0.0714,0.47,0.0,0.0,G0,0.02003899143085351,0.6418556803540681
0xb6b15e,96.04,0.0769,0.47,0.0,0.0,G0,0.020285325426488282,0.6371662402928966
0x161ae8,71.54,0.0964,0.41,0.0,0.0,G0,0.017834002081439038,0.6838318816613851
0x9d241d,61.74,0.114,0.44,0.0,0.0,G0,0.01242530841152132,0.7867967392278697
0x1025b4,89.18,0.11599999999999999,0.31,0.0,0.0,G0,0.025671162837402502,0.5346364954535178
0xda3849,29.694000000000003,0.2,0.23,0.0,0.0,G0,0.0,1.0233363158593929
0x937d85,59.29,0.0889,0.0,0.0,0.0,G0,0.028985607925928334,0.4715396762806936
0x70eaab,70.658,0.02,0.0,0.0,0.0,G0,0.03223736538878775,0.4096362362936465
0x1c1a3d,76.244,0.0364,0.07,0.0,0.0,G0,0.031494147814701175,0.4237848082644264
0x7c368f,78.694,0.0421,0.07,0.0,0.0,G0,0.03180444283965671,0.4178777473366032
0x4d83f0,59.486000000000004,0.0178,0.0,0.0,0.0,G0,0.029985262915701156,0.4525093262702908
0x6702e6,98.0,0.0118,0.0,0.0,0.0,G0,0.03570513439184114,0.3436206023414476
0xcbde7e,147.98,0.11900000000000001,0.125,0.0,0.0,G0,0.03562899182711876,0.3450701220979449
0x5721cc,151.9,0.10300000000000001,0.125,0.0,0.0,G0,0.035967837004040354,0.3386195542699183
0x1658f8,125.44,0.2,0.4,0.0,0.0,G0,0.025355669607423945,0.5406425141838088
0x16e9aa,189.14,0.165,0.3,0.0,0.0,G0,0.0328951616937064,0.3971138220144997
0xd342c2,156.8,0.11699999999999999,0.15,0.0,0.0,G0,0.035563267179785425,0.3463213168159823
0x2d0ac0,183.26,0.02,0.06,0.0,0.0,G0,0.03886697710453438,0.2834288620750703
0x370bfd,160.72,0.1,0.25,0.0,0.0,G0,0.03374690822775141,0.3808991931386837
0x421441,122.5,0.005,0.0,0.0,0.0,G0,0.037507828063096445,0.3093028708475823
0x8bfe25,171.5,0.294,0.2,0.0,0.0,G0,0.033110648178091784,0.393011623493691
0xb6fb77,196.98,0.114,0.0,0.0,0.0,G0,0.039288016880056585,0.2754135624182258
0x2def5b,147.0,0.2,0.0,0.0,0.0,G0,0.0369012533527418,0.3208501838341666
0xbcd77a,172.48,0.0385,0.0,0.0,0.0,G0,0.03926023750800391,0.27594239604446696
0xb0c886,193.06,0.2,0.0,0.0,0.0,G0,0.038443965760264376,0.2914816943243832
0xd7d6b6,125.44,0.005,0.0,0.0,0.0,G0,0.03767065280302541,0.3062031896346618
0x1cd60a,117.6,0.005,0.5,0.0,0.0,G0,0.022812664386164642,0.5890534959064573
0x30faf4,116.62,0.005,0.0,0.0,0.0,G0,0.03715754959079099,0.3159710933816355
0x543571,182.96599999999998,0.0093,0.0,0.0,0.0,G0,0.039771428140657344,0.2662109019180334
0xd79fd6,27.44,0.0093,0.06,0.0,0.0,G0,0.010957085601264273,0.8147471763869926
0x84e2ac,207.76,0.294,0.5,0.0,0.0,G0,0.024625020627663842,0.554551818855752
